id,file_id,name,tea_type,location_type,biome,latitude,longitude,start_weight_green,end_weight_green,start_weight_red,end_weight_red,weight_include,k,S,t,date_in,origin,source,comment,created_at
134,,lawn1,2,1,12,37.3678,-122.1166,,0,,0,0,0.008751281,0.116613814,89,7/23/17,0,,Mediterranean woodland,10/12/23 9:43
135,,Odiel,2,1,12,37.3788,-6.9796,,0,,0,0,0,0.769923025,98,1/28/17,0,,Mediterranean woodland,10/12/23 9:43
136,,Guadalquivir-Co,2,1,12,37.8473,-4.8072,,0,,0,0,0.016485646,0.407999066,97,2/5/17,0,,Mediterranean woodland,10/12/23 9:43
137,,Guadalquivir-Vi,2,1,12,37.9498,-4.5431,,0,,0,0,0.029672743,0.399680285,97,2/5/17,0,,Mediterranean woodland,10/12/23 9:43
138,,undertrees,2,1,4,39.1382,-78.2233,,0,,0,0,0.013270862,0.037984239,83,7/1/17,0,,Temperate forests,10/12/23 9:43
139,,Pinus halepensis forest,2,2,12,40.4178,-3.6518,,0,,0,0,0.008211433,0.377572839,96,11/15/17,0,,Mediterranean woodland,10/12/23 9:43
140,,Pinus halepensis forest,2,1,12,40.4178,-3.6518,,0,,0,0,0.005058077,0.310110943,96,11/15/17,0,,Mediterranean woodland,10/12/23 9:43
141,,Pinus pinea forest,2,2,12,40.455,-3.9892,,0,,0,0,0.011440794,0.400591933,91,11/3/17,0,,Mediterranean woodland,10/12/23 9:43
142,,Pinus pinea forest,2,1,12,40.455,-3.9892,,0,,0,0,0.009100172,0.364581866,91,11/3/17,0,,Mediterranean woodland,10/12/23 9:43
143,,Guadarrama,2,1,12,40.5197,-3.9395,,0,,0,0,0,0.334520298,97,2/9/17,0,,Mediterranean woodland,10/12/23 9:43
144,,Manzanares,2,1,12,40.5299,-3.7905,,0,,0,0,0,0.32224041,99,2/6/17,0,,Mediterranean woodland,10/12/23 9:43
145,,Pinus sylvestris forest,2,2,12,40.5513,-3.6808,,0,,0,0,0.013226667,0.445946383,91,10/17/17,0,,Mediterranean woodland,10/12/23 9:43
146,,Pinus sylvestris forest,2,2,12,40.5513,-3.6808,,0,,0,0,0.009610667,0.46190021,91,10/31/17,0,,Mediterranean woodland,10/12/23 9:43
147,,Pinus sylvestris forest,2,1,12,40.5513,-3.6808,,0,,0,0,0.007322095,0.434550793,91,10/17/17,0,,Mediterranean woodland,10/12/23 9:43
148,,Pinus sylvestris forest,2,1,12,40.5513,-3.6808,,0,,0,0,0.008385327,0.382131076,91,10/31/17,0,,Mediterranean woodland,10/12/23 9:43
